"","x","y","ISO3","HV001","REGCODE","IsRural","cattle","goat","sheep","chicken"
"1756",35.2904,0.817538,"KEN",1176,5,1,0.791666666666667,0.0416666666666667,0.458333333333333,0.75
"1757",35.257393,0.558263,"KEN",1177,5,0,0.136363636363636,0,0.0909090909090909,0.409090909090909
"1758",35.244122,0.523801,"KEN",1178,5,0,0.0869565217391304,0.0434782608695652,0,0.0869565217391304
"1759",35.261268,0.521928,"KEN",1179,5,0,0.0454545454545455,0.0454545454545455,0,0.181818181818182
"1760",35.225943,0.563705,"KEN",1180,5,0,0.136363636363636,0.0909090909090909,0.136363636363636,0.363636363636364
"1761",35.237461,0.54764,"KEN",1181,5,0,0.0869565217391304,0,0.0434782608695652,0.0869565217391304
"1762",35.242753,0.549726,"KEN",1182,5,0,0.2,0.04,0.12,0.24
"1763",35.104015,0.629269,"KEN",1183,5,1,0.304347826086957,0,0.0869565217391304,0.521739130434783
"1764",35.037416,0.613144,"KEN",1184,5,1,0.5,0.136363636363636,0.5,0.772727272727273
"1765",35.050106,0.602686,"KEN",1185,5,1,0.708333333333333,0.0416666666666667,0.166666666666667,0.826086956521739
"1766",35.458522,0.340606,"KEN",1186,5,1,0.826086956521739,0,0.739130434782609,0.782608695652174
"1767",35.363576,0.488518,"KEN",1187,5,0,0.826086956521739,0.217391304347826,0.391304347826087,0.739130434782609
"1768",35.306325,0.511723,"KEN",1188,5,0,0.375,0.0416666666666667,0.208333333333333,0.333333333333333
"1769",35.31325,0.524671,"KEN",1189,5,0,0.208333333333333,0.125,0.0833333333333333,0.208333333333333
"1770",35.444841,0.259013,"KEN",1190,5,1,0.714285714285714,0.0952380952380952,0.428571428571429,0.80952380952381
"1771",35.429175,0.612142,"KEN",1191,5,1,0.545454545454545,0,0.590909090909091,0.636363636363636
"1772",35.311936,0.745702,"KEN",1192,5,1,0.541666666666667,0,0.333333333333333,0.541666666666667
"1773",35.304668,0.55274,"KEN",1193,5,0,0.476190476190476,0.0952380952380952,0.238095238095238,0.285714285714286
